Chromosome	Start	End	Gene	Strand	Gene.id	Gene.Type	Gene.Status	entrez_id
ENSG00000215788.5	1	6521211	6526151	TNFRSF25	-	ENSG00000215788.5	protein_coding	KNOWN	8718
ENSG00000171680.16	1	6526256	6580121	PLEKHG5	-	ENSG00000171680.16	protein_coding	KNOWN	57449
ENSG00000162408.10	1	6581407	6614595	NOL9	-	ENSG00000162408.10	protein_coding	KNOWN	79707
ENSG00000173662.15	1	6615241	6639817	TAS1R1	+	ENSG00000173662.15	protein_coding	KNOWN	80835
ENSG00000204859.7	1	6640061	6649340	ZBTB48	+	ENSG00000204859.7	protein_coding	KNOWN	3104
ENSG00000162413.12	1	6650784	6674667	KLHL21	-	ENSG00000162413.12	protein_coding	KNOWN	9903
ENSG00000116273.5	1	6673745	6684093	PHF13	+	ENSG00000116273.5	protein_coding	KNOWN	148479
ENSG00000041988.11	1	6684926	6694227	THAP3	+	ENSG00000041988.11	protein_coding	KNOWN	90326
ENSG00000007923.11	1	6695647	6761984	DNAJC11	-	ENSG00000007923.11	protein_coding	KNOWN	55735
ENSG00000171735.14	1	6845384	7829766	CAMTA1	+	ENSG00000171735.14	protein_coding	KNOWN	23261
ENSG00000049245.8	1	7831329	7841492	VAMP3	+	ENSG00000049245.8	protein_coding	KNOWN	9341
ENSG00000049246.10	1	7844380	7905237	PER3	+	ENSG00000049246.10	protein_coding	KNOWN	8863
ENSG00000049247.9	1	7906752	7913572	UTS2	-	ENSG00000049247.9	protein_coding	KNOWN	10911
ENSG00000049249.4	1	7979907	8000926	TNFRSF9	-	ENSG00000049249.4	protein_coding	KNOWN	3604
ENSG00000116288.8	1	8014351	8045565	PARK7	+	ENSG00000116288.8	protein_coding	KNOWN	11315
ENSG00000116285.8	1	8064464	8086368	ERRFI1	-	ENSG00000116285.8	protein_coding	KNOWN	54206
ENSG00000162426.10	1	8377886	8404227	SLC45A1	+	ENSG00000162426.10	protein_coding	KNOWN	50651
ENSG00000142599.13	1	8412457	8877702	RERE	-	ENSG00000142599.13	protein_coding	KNOWN	473
ENSG00000074800.9	1	8921061	8939308	ENO1	-	ENSG00000074800.9	protein_coding	KNOWN	2023
ENSG00000131686.10	1	9005926	9035151	CA6	+	ENSG00000131686.10	protein_coding	KNOWN	765
ENSG00000197241.3	1	9063359	9086404	SLC2A7	-	ENSG00000197241.3	protein_coding	KNOWN	155184
ENSG00000142583.13	1	9095166	9148537	SLC2A5	-	ENSG00000142583.13	protein_coding	KNOWN	6518
ENSG00000180758.10	1	9160364	9189229	GPR157	-	ENSG00000180758.10	protein_coding	KNOWN	80045
ENSG00000049239.8	1	9294834	9331396	H6PD	+	ENSG00000049239.8	protein_coding	KNOWN	9563
ENSG00000171621.9	1	9352939	9429591	SPSB1	+	ENSG00000171621.9	protein_coding	KNOWN	80176
ENSG00000171612.6	1	9599541	9645237	SLC25A33	+	ENSG00000171612.6	protein_coding	KNOWN	84275
ENSG00000188807.8	1	9648932	9674935	TMEM201	+	ENSG00000188807.8	protein_coding	KNOWN	199953
ENSG00000171608.11	1	9711790	9789083	PIK3CD	+	ENSG00000171608.11	protein_coding	KNOWN	5293
ENSG00000179840.5	1	9712668	9714644	C1orf200	-	ENSG00000179840.5	protein_coding	KNOWN	644997
ENSG00000171603.12	1	9789173	9884584	CLSTN1	-	ENSG00000171603.12	protein_coding	KNOWN	22883
ENSG00000178585.10	1	9908334	9970394	CTNNBIP1	-	ENSG00000178585.10	protein_coding	KNOWN	56998
ENSG00000162441.7	1	9982173	10003465	LZIC	-	ENSG00000162441.7	protein_coding	KNOWN	84328
ENSG00000173614.9	1	10003486	10045559	NMNAT1	+	ENSG00000173614.9	protein_coding	KNOWN	64802
ENSG00000162444.11	1	10057264	10076078	RBP7	+	ENSG00000162444.11	protein_coding	KNOWN	116362
ENSG00000130939.14	1	10092890	10241297	UBE4B	+	ENSG00000130939.14	protein_coding	KNOWN	10277
ENSG00000054523.12	1	10270863	10441661	KIF1B	+	ENSG00000054523.12	protein_coding	KNOWN	23095
ENSG00000142657.16	1	10458649	10480201	PGD	+	ENSG00000142657.16	protein_coding	KNOWN	5226
ENSG00000175279.17	1	10490840	10502866	APITD1	+	ENSG00000175279.17	protein_coding	KNOWN	378708
ENSG00000241563.2	1	10509776	10511959	CORT	+	ENSG00000241563.2	protein_coding	KNOWN	1325
ENSG00000160049.7	1	10516579	10532583	DFFA	-	ENSG00000160049.7	protein_coding	KNOWN	1676
ENSG00000142655.8	1	10534944	10690815	PEX14	+	ENSG00000142655.8	protein_coding	KNOWN	5195
ENSG00000130940.10	1	10696661	10856707	CASZ1	-	ENSG00000130940.10	protein_coding	KNOWN	54897
ENSG00000175262.10	1	11006530	11042094	C1orf127	-	ENSG00000175262.10	protein_coding	KNOWN	148345
ENSG00000120948.11	1	11072414	11085796	TARDBP	+	ENSG00000120948.11	protein_coding	KNOWN	23435
ENSG00000009724.12	1	11086580	11107290	MASP2	-	ENSG00000009724.12	protein_coding	KNOWN	10747
ENSG00000116649.5	1	11114646	11120081	SRM	-	ENSG00000116649.5	protein_coding	KNOWN	6723
ENSG00000171824.9	1	11126675	11158213	EXOSC10	-	ENSG00000171824.9	protein_coding	KNOWN	5394
ENSG00000198793.8	1	11166592	11322564	MTOR	-	ENSG00000198793.8	protein_coding	KNOWN	2475
ENSG00000171819.4	1	11249398	11256038	ANGPTL7	+	ENSG00000171819.4	protein_coding	KNOWN	10218
ENSG00000120942.9	1	11333263	11356106	UBIAD1	+	ENSG00000120942.9	protein_coding	KNOWN	29914
ENSG00000204624.6	1	11539223	11597641	PTCHD2	+	ENSG00000204624.6	protein_coding	KNOWN	57540
ENSG00000116661.9	1	11708424	11715842	FBXO2	-	ENSG00000116661.9	protein_coding	KNOWN	26232
ENSG00000132879.9	1	11714914	11723384	FBXO44	+	ENSG00000132879.9	protein_coding	KNOWN	93611
ENSG00000116663.6	1	11724181	11734411	FBXO6	+	ENSG00000116663.6	protein_coding	KNOWN	26270
ENSG00000116670.10	1	11734537	11751707	MAD2L2	-	ENSG00000116670.10	protein_coding	KNOWN	10459
ENSG00000162490.6	1	11751786	11785914	DRAXIN	+	ENSG00000162490.6	protein_coding	KNOWN	374946
ENSG00000177674.11	1	11796141	11814859	AGTRAP	+	ENSG00000177674.11	protein_coding	KNOWN	57085
ENSG00000215910.3	1	11821844	11845346	C1orf167	+	ENSG00000215910.3	protein_coding	KNOWN	284498
ENSG00000177000.6	1	11845780	11866977	MTHFR	-	ENSG00000177000.6	protein_coding	KNOWN	4524
ENSG00000011021.17	1	11867188	11903201	CLCN6	+	ENSG00000011021.17	protein_coding	KNOWN	1185
ENSG00000175206.6	1	11905824	11908402	NPPA	-	ENSG00000175206.6	protein_coding	KNOWN	4878
ENSG00000120937.8	1	11917521	11918988	NPPB	-	ENSG00000120937.8	protein_coding	KNOWN	4879
ENSG00000116685.11	1	11979648	11986485	KIAA2013	-	ENSG00000116685.11	protein_coding	KNOWN	90231
ENSG00000083444.12	1	11994262	12035595	PLOD1	+	ENSG00000083444.12	protein_coding	KNOWN	5351
ENSG00000116688.12	1	12040238	12073571	MFN2	+	ENSG00000116688.12	protein_coding	KNOWN	9927
ENSG00000116691.6	1	12079523	12092102	MIIP	+	ENSG00000116691.6	protein_coding	KNOWN	60672
ENSG00000120949.10	1	12123434	12204264	TNFRSF8	+	ENSG00000120949.10	protein_coding	KNOWN	943
ENSG00000028137.12	1	12227060	12269285	TNFRSF1B	+	ENSG00000028137.12	protein_coding	KNOWN	7133
ENSG00000048707.9	1	12290124	12572099	VPS13D	+	ENSG00000048707.9	protein_coding	KNOWN	55187
ENSG00000162496.4	1	12627939	12677737	DHRS3	-	ENSG00000162496.4	protein_coding	KNOWN	9249
ENSG00000204518.2	1	12704566	12727097	AADACL4	+	ENSG00000204518.2	protein_coding	KNOWN	343066
ENSG00000188984.7	1	12776118	12788726	AADACL3	+	ENSG00000188984.7	protein_coding	KNOWN	126767
ENSG00000157330.5	1	12806163	12823847	C1orf158	+	ENSG00000157330.5	protein_coding	KNOWN	93190
ENSG00000116726.4	1	12834984	12838049	PRAMEF12	+	ENSG00000116726.4	protein_coding	KNOWN	390999
ENSG00000116721.9	1	12851546	12856777	PRAMEF1	+	ENSG00000116721.9	protein_coding	KNOWN	65121
ENSG00000204513.5	1	12884468	12891264	PRAMEF11	-	ENSG00000204513.5	protein_coding	KNOWN	NA
ENSG00000179172.7	1	12907261	12908578	HNRNPCL1	-	ENSG00000179172.7	protein_coding	KNOWN	343069
ENSG00000120952.4	1	12916941	12921764	PRAMEF2	+	ENSG00000120952.4	protein_coding	KNOWN	65122
ENSG00000243073.3	1	12939045	12946025	PRAMEF4	-	ENSG00000243073.3	protein_coding	KNOWN	400735
ENSG00000187545.5	1	12952727	12958101	PRAMEF10	-	ENSG00000187545.5	protein_coding	KNOWN	343071
ENSG00000204510.1	1	12976450	12980569	PRAMEF7	+	ENSG00000204510.1	protein_coding	KNOWN	441871
ENSG00000232423.3	1	12998181	13117751	PRAMEF6	-	ENSG00000232423.3	protein_coding	KNOWN	440561
ENSG00000204508.3	1	13035543	13038381	PRAMEF22	+	ENSG00000204508.3	protein_coding	KNOWN	NA
ENSG00000239810.2	1	13052394	13052998	WI2-3308P17.2	-	ENSG00000239810.2	protein_coding	PUTATIVE	440560
ENSG00000229571.2	1	13216356	13219581	PRAMEF26	-	ENSG00000229571.2	protein_coding	PUTATIVE	441873
ENSG00000204503.5	1	13328196	13331692	PRAMEF3	-	ENSG00000204503.5	protein_coding	KNOWN	NA
ENSG00000204502.2	1	13359819	13369057	PRAMEF5	+	ENSG00000204502.2	protein_coding	KNOWN	NA
ENSG00000182330.6	1	13386646	13390765	PRAMEF8	-	ENSG00000182330.6	protein_coding	KNOWN	391002
ENSG00000204501.2	1	13421176	13428191	PRAMEF9	+	ENSG00000204501.2	protein_coding	KNOWN	653619
ENSG00000204495.3	1	13447414	13452656	PRAMEF13	-	ENSG00000204495.3	protein_coding	KNOWN	NA
ENSG00000204491.2	1	13474689	13477522	PRAMEF18	-	ENSG00000204491.2	protein_coding	KNOWN	NA
ENSG00000204488.3	1	13495254	13498260	PRAMEF16	+	ENSG00000204488.3	protein_coding	KNOWN	NA
ENSG00000204486.3	1	13516066	13526943	PRAMEF21	+	ENSG00000204486.3	protein_coding	KNOWN	NA
ENSG00000157358.7	1	13641973	13648988	PRAMEF15	+	ENSG00000157358.7	protein_coding	KNOWN	NA
ENSG00000204481.6	1	13668269	13673511	PRAMEF14	-	ENSG00000204481.6	protein_coding	KNOWN	729528
ENSG00000204480.6	1	13694889	13698405	PRAMEF19	-	ENSG00000204480.6	protein_coding	KNOWN	645414
ENSG00000204479.4	1	13716092	13719089	PRAMEF17	+	ENSG00000204479.4	protein_coding	KNOWN	391004
ENSG00000204478.5	1	13736907	13747803	PRAMEF20	+	ENSG00000204478.5	protein_coding	KNOWN	645425
ENSG00000162494.5	1	13801445	13840543	LRRC38	-	ENSG00000162494.5	protein_coding	KNOWN	126755
ENSG00000162493.12	1	13909960	13944452	PDPN	+	ENSG00000162493.12	protein_coding	KNOWN	10630
ENSG00000116731.18	1	14026693	14151574	PRDM2	+	ENSG00000116731.18	protein_coding	KNOWN	7799
ENSG00000189337.11	1	14925200	15444539	KAZN	+	ENSG00000189337.11	protein_coding	KNOWN	23254
ENSG00000171729.9	1	15479028	15546976	TMEM51	+	ENSG00000171729.9	protein_coding	KNOWN	55092
ENSG00000204464.3	1	15490840	15497813	C1orf195	-	ENSG00000204464.3	protein_coding	KNOWN	NA
ENSG00000142621.15	1	15573768	15726779	FHAD1	+	ENSG00000142621.15	protein_coding	KNOWN	114827
ENSG00000142634.8	1	15736391	15756839	EFHD2	+	ENSG00000142634.8	protein_coding	KNOWN	79180
ENSG00000162438.7	1	15764935	15775737	CTRC	+	ENSG00000162438.7	protein_coding	KNOWN	11330
ENSG00000142615.7	1	15783223	15798586	CELA2A	+	ENSG00000142615.7	protein_coding	KNOWN	63036
ENSG00000215704.5	1	15792404	15813932	CELA2B	+	ENSG00000215704.5	protein_coding	KNOWN	51032
ENSG00000132906.13	1	15817327	15853029	CASP9	-	ENSG00000132906.13	protein_coding	KNOWN	842
ENSG00000116138.8	1	15853308	15918874	DNAJC16	+	ENSG00000116138.8	protein_coding	KNOWN	23341
ENSG00000116771.5	1	15898848	15911605	AGMAT	-	ENSG00000116771.5	protein_coding	KNOWN	79814
ENSG00000197312.7	1	15943995	15995539	DDI2	+	ENSG00000197312.7	protein_coding	KNOWN	84301
ENSG00000116786.7	1	16010827	16061264	PLEKHM2	+	ENSG00000116786.7	protein_coding	KNOWN	23207
ENSG00000162461.7	1	16062900	16067891	SLC25A34	+	ENSG00000162461.7	protein_coding	KNOWN	284723
ENSG00000162460.6	1	16068917	16074477	TMEM82	+	ENSG00000162460.6	protein_coding	NOVEL	388595
ENSG00000162458.8	1	16083102	16113089	FBLIM1	+	ENSG00000162458.8	protein_coding	KNOWN	54751
ENSG00000065526.6	1	16174359	16266955	SPEN	+	ENSG00000065526.6	protein_coding	KNOWN	23013
ENSG00000116809.7	1	16268364	16302627	ZBTB17	-	ENSG00000116809.7	protein_coding	KNOWN	7709
ENSG00000183888.4	1	16330731	16335302	C1orf64	+	ENSG00000183888.4	protein_coding	KNOWN	149563
ENSG00000173641.13	1	16340523	16346089	HSPB7	-	ENSG00000173641.13	protein_coding	KNOWN	27129
ENSG00000186510.7	1	16345370	16360545	CLCNKA	+	ENSG00000186510.7	protein_coding	KNOWN	1187
ENSG00000184908.13	1	16370272	16383803	CLCNKB	+	ENSG00000184908.13	protein_coding	KNOWN	1188
ENSG00000185519.8	1	16384264	16400127	FAM131C	-	ENSG00000185519.8	protein_coding	KNOWN	348487
ENSG00000142627.9	1	16450832	16482582	EPHA2	-	ENSG00000142627.9	protein_coding	KNOWN	1969
ENSG00000142632.12	1	16524712	16539104	ARHGEF19	-	ENSG00000142632.12	protein_coding	KNOWN	128272
ENSG00000204377.3	1	16555368	16556038	C1orf134	-	ENSG00000204377.3	protein_coding	KNOWN	NA
ENSG00000132881.7	1	16558195	16563657	RSG1	-	ENSG00000132881.7	protein_coding	KNOWN	79363
ENSG00000037637.6	1	16573334	16678949	FBXO42	-	ENSG00000037637.6	protein_coding	KNOWN	54455
ENSG00000055070.12	1	16679070	16724640	SZRD1	+	ENSG00000055070.12	protein_coding	KNOWN	26099
ENSG00000187144.7	1	16713621	16763919	SPATA21	-	ENSG00000187144.7	protein_coding	KNOWN	374955
ENSG00000157191.15	1	16767167	16786573	NECAP2	+	ENSG00000157191.15	protein_coding	KNOWN	55707
ENSG00000268674.1	1	16865561	16866070	AL355149.2	+	ENSG00000268674.1	protein_coding	KNOWN	729587
ENSG00000219481.6	1	16888814	16940057	NBPF1	-	ENSG00000219481.6	protein_coding	KNOWN	55672
ENSG00000237847.2	1	16999498	17000007	AL137798.1	+	ENSG00000237847.2	protein_coding	KNOWN	729574
ENSG00000268991.1	1	17060447	17060956	AL021920.2	-	ENSG00000268991.1	protein_coding	KNOWN	100133301
ENSG00000058453.12	1	17066768	17299474	CROCC	+	ENSG00000058453.12	protein_coding	KNOWN	9696
ENSG00000117122.9	1	17300997	17307330	MFAP2	-	ENSG00000117122.9	protein_coding	KNOWN	4237
ENSG00000159363.13	1	17312453	17338423	ATP13A2	-	ENSG00000159363.13	protein_coding	KNOWN	23400
ENSG00000117118.5	1	17345217	17380665	SDHB	-	ENSG00000117118.5	protein_coding	KNOWN	6390
ENSG00000117115.8	1	17393256	17445948	PADI2	-	ENSG00000117115.8	protein_coding	KNOWN	11240
ENSG00000142623.8	1	17531621	17572500	PADI1	+	ENSG00000142623.8	protein_coding	KNOWN	29943
ENSG00000142619.4	1	17575593	17610728	PADI3	+	ENSG00000142619.4	protein_coding	KNOWN	51702
ENSG00000159339.9	1	17634690	17690499	PADI4	+	ENSG00000159339.9	protein_coding	KNOWN	23569
ENSG00000179051.9	1	17733501	17766220	RCC2	-	ENSG00000179051.9	protein_coding	KNOWN	55920
ENSG00000074964.12	1	17866330	18024369	ARHGEF10L	+	ENSG00000074964.12	protein_coding	KNOWN	55160
ENSG00000117148.6	1	18081808	18153558	ACTL8	+	ENSG00000117148.6	protein_coding	KNOWN	81569
ENSG00000117154.7	1	18434240	18704976	IGSF21	+	ENSG00000117154.7	protein_coding	KNOWN	84966
ENSG00000179023.7	1	18807424	18812478	KLHDC7A	+	ENSG00000179023.7	protein_coding	KNOWN	127707
ENSG00000009709.7	1	18957500	19075360	PAX7	+	ENSG00000009709.7	protein_coding	KNOWN	5081
ENSG00000179002.5	1	19166093	19186176	TAS1R2	-	ENSG00000179002.5	protein_coding	KNOWN	80834
ENSG00000159423.12	1	19197926	19229275	ALDH4A1	-	ENSG00000159423.12	protein_coding	KNOWN	8659
ENSG00000169991.6	1	19230775	19283180	IFFO2	-	ENSG00000169991.6	protein_coding	KNOWN	126917
ENSG00000127481.10	1	19403234	19536770	UBR4	-	ENSG00000127481.10	protein_coding	KNOWN	23352
ENSG00000127463.9	1	19542158	19578032	EMC1	-	ENSG00000127463.9	protein_coding	KNOWN	23065
